"measure","location","sex","age","cause","metric","year","val","upper","lower","age_group_start","inc_base","inc_base_monthly"
"Incidence","Philippines","Male","70 to 74","Self-harm","Rate",2019,9.08476314752983,14.1643994187749,5.34736105873612,70,9.08476314752983e-05,7.57095120451634e-06
"Incidence","Philippines","Female","70 to 74","Self-harm","Rate",2019,8.44145426198231,12.9889058712901,4.93134813050584,70,8.44145426198231e-05,7.03481739949829e-06
"Incidence","Philippines","Male","75 to 79","Self-harm","Rate",2019,7.74539412890236,12.3633893345396,4.60449537863131,75,7.74539412890236e-05,6.4547242515367e-06
"Incidence","Philippines","Female","75 to 79","Self-harm","Rate",2019,8.36504144959127,13.4430167245102,4.9982905769362,75,8.36504144959127e-05,6.97113515046865e-06
"Incidence","Philippines","Male","80 to 84","Self-harm","Rate",2019,6.83203021928105,10.8736274090384,3.82050237897181,80,6.83203021928105e-05,5.69353680268669e-06
"Incidence","Philippines","Female","80 to 84","Self-harm","Rate",2019,10.9573088043802,16.4394264398952,6.89403962238646,80,0.000109573088043802,9.13154927495441e-06
"Incidence","Philippines","Male","85 to 89","Self-harm","Rate",2019,4.3679000808567,6.71382930255851,2.56540061832431,85,4.3679000808567e-05,3.63998960550838e-06
"Incidence","Philippines","Female","85 to 89","Self-harm","Rate",2019,12.7191516175794,19.2992695690606,7.61268747098812,85,0.000127191516175794,1.05999109624166e-05
"Incidence","Philippines","Male","90 to 94","Self-harm","Rate",2019,4.14127945693927,6.3423898970146,2.4202840485053,90,4.14127945693927e-05,3.45113172006695e-06
"Incidence","Philippines","Female","90 to 94","Self-harm","Rate",2019,13.4679092486609,19.4068194568004,8.48980060937707,90,0.000134679092486609,1.12239505551948e-05
"Incidence","China","Male","10 to 14","Major depressive disorder","Rate",2019,467.475817313509,734.840830270012,263.65784035683,10,0.00467475817313509,0.000390400359608911
"Incidence","China","Female","10 to 14","Major depressive disorder","Rate",2019,992.542933305031,1499.49727752722,584.902559045535,10,0.00992542933305031,0.000830905838420382
"Incidence","China","Male","15 to 19","Major depressive disorder","Rate",2019,1167.62353542727,1588.4785499419,834.078141344388,15,0.0116762353542727,0.000978266010955298
"Incidence","China","Female","15 to 19","Major depressive disorder","Rate",2019,2176.80332069049,2931.38206107707,1566.11782101723,15,0.0217680332069049,0.00183235686487093
"Incidence","China","Male","20 to 24","Major depressive disorder","Rate",2019,1494.98063883789,2005.97085603603,1036.57821298721,20,0.0149498063883789,0.00125443596384089
"Incidence","China","Female","20 to 24","Major depressive disorder","Rate",2019,2512.60608702414,3390.48955806016,1734.87048110036,20,0.0251260608702414,0.00211834559428459
"Incidence","China","Male","25 to 29","Major depressive disorder","Rate",2019,1470.67349658181,1986.60172735305,1061.46786939962,25,0.0147067349658181,0.00123390071139107
"Incidence","China","Female","25 to 29","Major depressive disorder","Rate",2019,2387.35197248412,3240.59431513364,1708.20386175953,25,0.0238735197248412,0.00201156662582891
"Incidence","China","Male","30 to 34","Major depressive disorder","Rate",2019,1482.20035445342,1997.24898470652,1082.22108926518,30,0.0148220035445342,0.00124363829632801
"Incidence","China","Female","30 to 34","Major depressive disorder","Rate",2019,2470.30613358675,3354.27079575734,1788.84860858172,30,0.0247030613358675,0.00208227088271729
"Incidence","China","Male","35 to 39","Major depressive disorder","Rate",2019,1522.05462782605,1958.37420690615,1109.98417997044,35,0.0152205462782605,0.00127731418320542
"Incidence","China","Female","35 to 39","Major depressive disorder","Rate",2019,2765.96291178377,3561.2069772049,1990.69828077692,35,0.0276596291178377,0.00233471696664889
"Incidence","China","Male","40 to 44","Major depressive disorder","Rate",2019,1747.61986120614,2246.00602921695,1252.7688156233,40,0.0174761986120614,0.00146814706616738
"Incidence","China","Female","40 to 44","Major depressive disorder","Rate",2019,3287.82596408782,4217.41843447559,2391.65208322774,40,0.0328782596408782,0.00278203100624164
"Incidence","China","Male","45 to 49","Major depressive disorder","Rate",2019,2156.25513774503,2629.24402458262,1714.30973899693,45,0.0215625513774503,0.00181488609647329
"Incidence","China","Female","45 to 49","Major depressive disorder","Rate",2019,4018.0756531057,4891.68609355177,3223.47596707403,45,0.040180756531057,0.0034116919333107
"Incidence","China","Male","50 to 54","Major depressive disorder","Rate",2019,2574.66352194902,3169.97484584763,2065.37730318011,50,0.0257466352194902,0.00217129607354027
"Incidence","China","Female","50 to 54","Major depressive disorder","Rate",2019,4739.3622550791,5816.40709047696,3802.81400128745,50,0.047393622550791,0.00403795012107633
"Incidence","China","Male","55 to 59","Major depressive disorder","Rate",2019,2967.69772680629,3748.84949415476,2312.29784059014,55,0.0296769772680629,0.00250737209444096
"Incidence","China","Female","55 to 59","Major depressive disorder","Rate",2019,5415.74520022247,6774.39424481389,4189.40913195368,55,0.0541574520022247,0.00462918244723987
"Incidence","China","Male","60 to 64","Major depressive disorder","Rate",2019,3262.99659505579,4035.17989707398,2618.25815687953,60,0.0326299659505579,0.0027606984799966
"Incidence","China","Female","60 to 64","Major depressive disorder","Rate",2019,5816.77173228746,7149.82069181253,4642.5183117744,60,0.0581677173228745,0.00498155603163186
"Incidence","China","Male","65 to 69","Major depressive disorder","Rate",2019,3478.15336503473,4156.82244096298,2903.66048688762,65,0.0347815336503473,0.00294572059809495
"Incidence","China","Female","65 to 69","Major depressive disorder","Rate",2019,5976.91139093546,7100.67834205027,4991.37095180273,65,0.0597691139093546,0.00512265176926163
"Incidence","China","Male","70 to 74","Major depressive disorder","Rate",2019,3696.05780144583,4532.18104362805,2996.82109017488,70,0.0369605780144583,0.00313349128473273
"Incidence","China","Female","70 to 74","Major depressive disorder","Rate",2019,6150.92869677035,7442.44692893002,5004.38160190138,70,0.0615092869677035,0.0052762247829875
"Incidence","China","Male","75 to 79","Major depressive disorder","Rate",2019,3895.21899162072,5013.86160122386,2811.58442312742,75,0.0389521899162072,0.00330545166807905
"Incidence","China","Female","75 to 79","Major depressive disorder","Rate",2019,6289.23980126313,8028.79679082179,4649.88620897898,75,0.0628923980126313,0.00539847280872241
"Incidence","China","Male","80 to 84","Major depressive disorder","Rate",2019,4097.62085792638,5210.81572435639,3039.29408454082,80,0.0409762085792638,0.00348054513085749
"Incidence","China","Female","80 to 84","Major depressive disorder","Rate",2019,6360.67676595888,8117.15465778191,4716.58630315578,80,0.0636067676595888,0.00546167806480957
"Incidence","China","Male","85 to 89","Major depressive disorder","Rate",2019,4264.01079933388,5309.3874748732,3329.72082535411,85,0.0426401079933388,0.00362473934092222
"Incidence","China","Female","85 to 89","Major depressive disorder","Rate",2019,6353.52352549207,7886.25299612451,4952.32064523737,85,0.0635352352549207,0.00545534710393925
"Incidence","China","Male","90 to 94","Major depressive disorder","Rate",2019,4474.6423953003,5945.47729353103,3251.47226399579,90,0.044746423953003,0.00380760338237929
"Incidence","China","Female","90 to 94","Major depressive disorder","Rate",2019,6343.8485307768,8448.49633811369,4614.7437905062,90,0.063438485307768,0.00544678497483808
"Incidence","China","Male","10 to 14","Bipolar disorder","Rate",2019,27.4088912065968,39.4499548698577,17.6402269504207,10,0.000274088912065968,2.28436125221387e-05
"Incidence","China","Female","10 to 14","Bipolar disorder","Rate",2019,28.9689257688296,41.7169265389337,18.8776948765458,10,0.000289689257688296,2.41439773400742e-05
"Incidence","China","Male","15 to 19","Bipolar disorder","Rate",2019,33.6965700149438,44.5641535405728,23.7404893378259,15,0.000336965700149438,2.80848127682809e-05
"Incidence","China","Female","15 to 19","Bipolar disorder","Rate",2019,36.2207057311885,47.7359461010637,26.0245271002743,15,0.000362207057311885,3.01889334826111e-05
"Incidence","China","Male","20 to 24","Bipolar disorder","Rate",2019,18.287269272519,30.0892750043809,9.64690038992268,20,0.00018287269272519,1.524066852443e-05
"Incidence","China","Female","20 to 24","Bipolar disorder","Rate",2019,20.2862779952499,33.2850670726975,10.89529745476,20,0.000202862779952499,1.690680369415e-05
"Incidence","China","Male","25 to 29","Bipolar disorder","Rate",2019,13.0706944266239,20.9402342242186,6.46523425682542,25,0.000130706944266239,1.08928979355438e-05
"Incidence","China","Female","25 to 29","Bipolar disorder","Rate",2019,14.7361611803856,23.5566449376819,7.44561679751834,25,0.000147361611803856,1.22809638044563e-05
"Incidence","China","Male","30 to 34","Bipolar disorder","Rate",2019,11.5519386583792,20.1909022845575,5.24678709185353,30,0.000115519386583792,9.62712528074228e-06
"Incidence","China","Female","30 to 34","Bipolar disorder","Rate",2019,13.2793051795301,22.9151427859396,6.18292802019552,30,0.000132793051795301,1.10667612274185e-05
"Incidence","China","Male","35 to 39","Bipolar disorder","Rate",2019,13.8654694595514,23.9273749783477,6.78933374092606,35,0.000138654694595514,1.15552922409501e-05
"Incidence","China","Female","35 to 39","Bipolar disorder","Rate",2019,16.0719603061796,27.5125881974194,7.94820203397902,35,0.000160719603061796,1.3394286949131e-05
"Incidence","China","Male","40 to 44","Bipolar disorder","Rate",2019,15.3726739597743,25.8571574143739,7.84657066524109,40,0.000153726739597743,1.28114643295207e-05
"Incidence","China","Female","40 to 44","Bipolar disorder","Rate",2019,17.6424838903135,29.6307605382834,8.88896443934036,40,0.000176424838903135,1.47032588723173e-05
"Incidence","China","Male","45 to 49","Bipolar disorder","Rate",2019,16.2525017037113,29.2522321943989,7.52673447580303,45,0.000162525017037113,1.35447604071581e-05
"Incidence","China","Female","45 to 49","Bipolar disorder","Rate",2019,18.2036414730803,31.1799611161756,8.91466219119774,45,0.000182036414730803,1.51709670338507e-05
"Incidence","China","Male","50 to 54","Bipolar disorder","Rate",2019,19.0352367626428,30.6381573419366,10.6039480197645,50,0.000190352367626428,1.58640814089672e-05
"Incidence","China","Female","50 to 54","Bipolar disorder","Rate",2019,18.3369742878205,30.8947339576231,9.34081029555717,50,0.000183369742878205,1.52820963246203e-05
"Incidence","China","Male","55 to 59","Bipolar disorder","Rate",2019,23.6641595998635,34.7232101696886,13.4299647907192,55,0.000236641595998635,1.97222721833867e-05
"Incidence","China","Female","55 to 59","Bipolar disorder","Rate",2019,18.00693596471,27.0582910989939,10.0277236178612,55,0.0001800693596471,1.50070185669371e-05
"Incidence","China","Male","60 to 64","Bipolar disorder","Rate",2019,25.541859138544,38.3753440089905,12.6961808306983,60,0.00025541859138544,2.12873747763576e-05
"Incidence","China","Female","60 to 64","Bipolar disorder","Rate",2019,17.5718767705069,28.0866640718986,7.75998631954113,60,0.000175718767705069,1.46444101076781e-05
"Incidence","China","Male","65 to 69","Bipolar disorder","Rate",2019,23.9938786469544,33.0565102148432,15.5922099266534,65,0.000239938786469544,1.99970980875319e-05
"Incidence","China","Female","65 to 69","Bipolar disorder","Rate",2019,16.8552816815878,24.0445833511018,10.3348878156884,65,0.000168552816815878,1.4047153291008e-05
"Incidence","China","Male","70 to 74","Bipolar disorder","Rate",2019,22.4651067916062,30.8337058366735,16.0309716592742,70,0.000224651067916062,1.87228502042114e-05
"Incidence","China","Female","70 to 74","Bipolar disorder","Rate",2019,16.1006784081298,23.099714828318,11.1622171824486,70,0.000161006784081298,1.34182222302215e-05
"Incidence","China","Male","75 to 79","Bipolar disorder","Rate",2019,20.9147307672974,32.5940339512194,12.4650554910739,75,0.000209147307672974,1.7430613253544e-05
"Incidence","China","Female","75 to 79","Bipolar disorder","Rate",2019,15.2876889683577,24.9271952772879,8.52265526396338,75,0.000152876889683577,1.27406335496127e-05
"Incidence","China","Male","80 to 84","Bipolar disorder","Rate",2019,19.3747874767752,30.8705547735438,10.9764103618641,80,0.000193747874767752,1.614709016029e-05
"Incidence","China","Female","80 to 84","Bipolar disorder","Rate",2019,14.8659099267861,23.8444085349546,8.32355910413781,80,0.000148659099267861,1.23891024317313e-05
"Incidence","China","Male","85 to 89","Bipolar disorder","Rate",2019,17.6580896916963,25.5678180938294,11.3201870957804,85,0.000176580896916963,1.47162658112876e-05
"Incidence","China","Female","85 to 89","Bipolar disorder","Rate",2019,14.8197739517064,21.2576992578923,9.54124364293753,85,0.000148197739517064,1.23506505540494e-05
"Incidence","China","Male","90 to 94","Bipolar disorder","Rate",2019,15.958382116589,26.2402184994049,8.87228458353368,90,0.00015958382116589,1.32996245607586e-05
"Incidence","China","Female","90 to 94","Bipolar disorder","Rate",2019,14.8158963196116,24.283684850608,8.35026745803949,90,0.000148158963196116,1.23474187549988e-05
"Incidence","China","Male","10 to 14","Anxiety disorders","Rate",2019,731.135868218707,946.518720889814,547.16037073393,10,0.00731135868218707,0.000611331199411147
"Incidence","China","Female","10 to 14","Anxiety disorders","Rate",2019,1180.77993468212,1527.44635296221,898.348426123722,10,0.0118077993468212,0.000989349027856745
"Incidence","China","Male","15 to 19","Anxiety disorders","Rate",2019,421.830343874497,599.608326014908,296.060132443561,15,0.00421830343874497,0.00035220675899883
"Incidence","China","Female","15 to 19","Anxiety disorders","Rate",2019,663.746635474749,930.945560725314,474.283554223224,15,0.00663746635474749,0.000554812059479826
"Incidence","China","Male","20 to 24","Anxiety disorders","Rate",2019,293.235983463489,487.768233181276,151.428888183261,20,0.00293235983463489,0.00024469236003366
"Incidence","China","Female","20 to 24","Anxiety disorders","Rate",2019,451.393639598544,743.532140901106,227.552439354693,20,0.00451393639598544,0.000376941853656332
"Incidence","China","Male","25 to 29","Anxiety disorders","Rate",2019,339.136971717532,481.93042706881,238.917385241041,25,0.00339136971717532,0.000283054386415738
"Incidence","China","Female","25 to 29","Anxiety disorders","Rate",2019,531.671251344334,754.110125961352,376.065914467769,25,0.00531671251344334,0.000444142716629403
"Incidence","China","Male","30 to 34","Anxiety disorders","Rate",2019,387.836028081982,515.685786684331,281.269375886982,30,0.00387836028081982,0.00032377262619987
"Incidence","China","Female","30 to 34","Anxiety disorders","Rate",2019,613.373938286845,807.702480574745,445.413441262314,30,0.00613373938286845,0.000512587585458135
"Incidence","China","Male","35 to 39","Anxiety disorders","Rate",2019,431.393026011239,610.808816982402,284.780221833637,35,0.00431393026011239,0.000360206951966036
"Incidence","China","Female","35 to 39","Anxiety disorders","Rate",2019,684.137246803443,947.020064796287,464.352202843275,35,0.00684137246803443,0.000571909892384426
"Incidence","China","Male","40 to 44","Anxiety disorders","Rate",2019,462.385503099696,638.116435379088,311.955136827943,40,0.00462385503099696,0.000386140271656288
"Incidence","China","Female","40 to 44","Anxiety disorders","Rate",2019,701.541584987387,953.760826712451,481.205049170358,40,0.00701541584987387,0.000586506236186835
"Incidence","China","Male","45 to 49","Anxiety disorders","Rate",2019,479.214830855908,605.617556903605,362.811314807128,45,0.00479214830855908,0.000400225510645225
"Incidence","China","Female","45 to 49","Anxiety disorders","Rate",2019,664.683621320773,859.198279398268,496.136481867218,45,0.00664683621320773,0.00055559766561708
"Incidence","China","Male","50 to 54","Anxiety disorders","Rate",2019,493.898496096216,641.401669012372,371.605507392236,50,0.00493898496096216,0.000412516729597745
"Incidence","China","Female","50 to 54","Anxiety disorders","Rate",2019,630.371493016871,835.269653585231,469.635280779731,50,0.00630371493016871,0.000526833444035035
"Incidence","China","Male","55 to 59","Anxiety disorders","Rate",2019,504.009223576185,704.309726405407,342.449313914544,55,0.00504009223576185,0.000420981057567271
"Incidence","China","Female","55 to 59","Anxiety disorders","Rate",2019,590.222278629626,855.793791382326,384.804479485638,55,0.00590222278629626,0.000493187488474822
"Incidence","China","Male","60 to 64","Anxiety disorders","Rate",2019,481.511540162709,679.394076517299,319.343876749674,60,0.00481511540162708,0.000402147901685468
"Incidence","China","Female","60 to 64","Anxiety disorders","Rate",2019,529.564373038481,795.098714520237,323.686204720426,60,0.00529564373038481,0.000442378401182442
"Incidence","China","Male","65 to 69","Anxiety disorders","Rate",2019,428.335312047898,568.5003599552,311.710005869332,65,0.00428335312047898,0.000357648774892083
"Incidence","China","Female","65 to 69","Anxiety disorders","Rate",2019,451.445325646871,639.668142894908,308.4947946883,65,0.00451445325646871,0.000376985104368899
"Incidence","China","Male","70 to 74","Anxiety disorders","Rate",2019,372.321236022981,485.086557275885,288.01050725068,70,0.00372321236022981,0.00031079842279913
"Incidence","China","Female","70 to 74","Anxiety disorders","Rate",2019,373.10186317044,506.045830406417,279.897197080546,70,0.0037310186317044,0.000311451175914579
"Incidence","China","Male","75 to 79","Anxiety disorders","Rate",2019,315.937052042979,459.735325630103,222.098220736025,75,0.00315937052042979,0.00026366289052282
"Incidence","China","Female","75 to 79","Anxiety disorders","Rate",2019,293.298550635771,413.118946384826,206.473170707039,75,0.00293298550635771,0.000244744639904093
"Incidence","China","Male","80 to 84","Anxiety disorders","Rate",2019,250.909059858648,400.106193694314,155.162481545216,80,0.00250909059858648,0.000209331723863837
"Incidence","China","Female","80 to 84","Anxiety disorders","Rate",2019,221.87713549035,347.705343768675,132.687973426794,80,0.0022187713549035,0.000185085909080951
"Incidence","China","Male","85 to 89","Anxiety disorders","Rate",2019,178.906811188952,285.332184281464,111.076674689497,85,0.00178906811188952,0.000149211400671811
"Incidence","China","Female","85 to 89","Anxiety disorders","Rate",2019,158.472481231973,247.731361087815,95.1860558361383,85,0.00158472481231973,0.000132156417976592
"Incidence","China","Male","90 to 94","Anxiety disorders","Rate",2019,106.686288953799,169.850235286597,66.2965190764488,90,0.00106686288953799,8.89487432294001e-05
"Incidence","China","Female","90 to 94","Anxiety disorders","Rate",2019,95.1928151682517,149.159938103774,57.4104553021739,90,0.000951928151682517,7.93619775905086e-05
"Incidence","United States of America","Male","80 to 84","Anxiety disorders","Rate",2019,209.39365066166,340.918719593554,126.225070302074,80,0.0020939365066166,0.000174662399481273
"Incidence","United States of America","Female","80 to 84","Anxiety disorders","Rate",2019,163.263184649668,276.507428718412,90.306471757136,80,0.00163263184649668,0.000136154566978353
"Incidence","United States of America","Male","85 to 89","Anxiety disorders","Rate",2019,150.368211417159,244.215237462905,90.6364706786602,85,0.00150368211417159,0.000125393285830167
"Incidence","United States of America","Female","85 to 89","Anxiety disorders","Rate",2019,117.427456293128,199.458860631606,64.9074029866966,85,0.00117427456293128,9.79089202358674e-05
"Incidence","United States of America","Male","90 to 94","Anxiety disorders","Rate",2019,90.7349432701308,146.810148693909,54.7672083028726,90,0.000907349432701308,7.56439158021704e-05
"Incidence","United States of America","Female","90 to 94","Anxiety disorders","Rate",2019,70.9847622637859,121.220816966705,39.0817511648512,90,0.000709847622637859,5.91732228417685e-05
"Incidence","Sudan","Male","10 to 14","Major depressive disorder","Rate",2019,2053.28910765389,3375.67533265,1053.037316526,10,0.0205328910765389,0.00172739147373546
"Incidence","Sudan","Female","10 to 14","Major depressive disorder","Rate",2019,3098.17771978902,4983.83734926,1613.42102021475,10,0.0309817771978902,0.00261921896856254
"Incidence","Sudan","Male","15 to 19","Major depressive disorder","Rate",2019,4618.2274380075,6608.744697475,3146.520045025,15,0.046182274380075,0.00393247159261578
"Incidence","Sudan","Female","15 to 19","Major depressive disorder","Rate",2019,6227.0500164675,9155.718716625,4114.115866575,15,0.062270500164675,0.00534348512742622
"Incidence","Sudan","Male","20 to 24","Major depressive disorder","Rate",2019,5731.459320764,8134.981125895,3768.38116177,20,0.05731459320764,0.0049064787924098
"Incidence","Sudan","Female","20 to 24","Major depressive disorder","Rate",2019,7271.3944963605,10348.12727715,4675.4681088375,20,0.072713944963605,0.00627135076844931
"Incidence","Sudan","Male","25 to 29","Major depressive disorder","Rate",2019,5689.3680869808,8464.033573485,3733.92623478,25,0.056893680869808,0.00486946030548896
"Incidence","Sudan","Female","25 to 29","Major depressive disorder","Rate",2019,7241.9932079563,10672.26196665,4570.63703355,25,0.072419932079563,0.00624509794043615
"Incidence","Sudan","Male","30 to 34","Major depressive disorder","Rate",2019,5946.0999604493,8580.13967679,4020.23266245,30,0.059460999604493,0.0050954873500193
"Incidence","Sudan","Female","30 to 34","Major depressive disorder","Rate",2019,7593.9881687674,11003.4766776,5125.27777698,30,0.075939881687674,0.00655990148069396
"Incidence","Sudan","Male","35 to 39","Major depressive disorder","Rate",2019,6493.7239546953,8780.7131221275,4525.413192375,35,0.064937239546953,0.00557951208613428
"Incidence","Sudan","Female","35 to 39","Major depressive disorder","Rate",2019,8316.0502791553,11473.1574681,5661.278733825,35,0.083160502791553,0.00720912637558702
"Incidence","Sudan","Male","40 to 44","Major depressive disorder","Rate",2019,6651.9221400483,9105.45638877,4472.8337840175,40,0.066519221400483,0.00571982141651339
"Incidence","Sudan","Female","40 to 44","Major depressive disorder","Rate",2019,8596.8502862927,12110.918167575,5694.85071938,40,0.085968502862927,0.00746286742474878
"Incidence","Sudan","Male","45 to 49","Major depressive disorder","Rate",2019,6446.7667214817,8339.528602275,4734.63550716,45,0.064467667214817,0.00553790659853171
"Incidence","Sudan","Female","45 to 49","Major depressive disorder","Rate",2019,8477.0419453643,11022.703754475,6236.7720706125,45,0.084770419453643,0.00735451699467315
"Incidence","Sudan","Male","50 to 54","Major depressive disorder","Rate",2019,6238.7098831327,8101.4296643325,4813.1120103475,50,0.062387098831327,0.0053537921361273
"Incidence","Sudan","Female","50 to 54","Major depressive disorder","Rate",2019,8352.3412036318,10724.469361125,6308.8870662875,50,0.083523412036318,0.00724188005169313
"Incidence","Sudan","Male","55 to 59","Major depressive disorder","Rate",2019,6026.6275890175,8178.5513390025,4179.906746385,55,0.060266275890175,0.00516650049403078
"Incidence","Sudan","Female","55 to 59","Major depressive disorder","Rate",2019,8221.201588517,11230.596246275,5706.03334767,55,0.08221201588517,0.0071235786001953
"Incidence","Sudan","Male","60 to 64","Major depressive disorder","Rate",2019,5788.7696724121,7873.6364874825,4047.2559135125,60,0.057887696724121,0.0049569065881413
"Incidence","Sudan","Female","60 to 64","Major depressive disorder","Rate",2019,7794.1663580962,10776.79001085,5189.16209719,60,0.077941663580962,0.00673941971004677
"Incidence","Sudan","Male","65 to 69","Major depressive disorder","Rate",2019,5527.0227884605,7020.304114605,4223.777549915,65,0.055270227884605,0.00472682223153786
"Incidence","Sudan","Female","65 to 69","Major depressive disorder","Rate",2019,7077.5358665736,9214.77482354,5223.4787480375,65,0.070775358665736,0.00609839215582741
"Incidence","Sudan","Male","70 to 74","Major depressive disorder","Rate",2019,5261.3051601692,6813.243242115,4006.9585655425,70,0.052613051601692,0.00449384439666323
"Incidence","Sudan","Female","70 to 74","Major depressive disorder","Rate",2019,6349.5389894431,8273.8285009875,4761.4504907225,70,0.063495389894431,0.00545182079067708
"Incidence","Sudan","Male","75 to 79","Major depressive disorder","Rate",2019,4991.4301579954,7199.1092154275,3262.6265431275,75,0.049914301579954,0.00425783374589239
"Incidence","Sudan","Female","75 to 79","Major depressive disorder","Rate",2019,5608.9674506314,8080.755280845,3681.4571624925,75,0.056089674506314,0.00479879145845963
"Incidence","Sudan","Male","80 to 84","Major depressive disorder","Rate",2019,4914.9437289934,7098.34304898,3148.232374535,80,0.049149437289934,0.00419105672140663
"Incidence","Sudan","Female","80 to 84","Major depressive disorder","Rate",2019,5395.4445337178,7830.19985932,3395.74435405,80,0.053954445337178,0.00461138111977788
"Incidence","Sudan","Male","85 to 89","Major depressive disorder","Rate",2019,5029.854058634,6779.32728249,3614.9812816,85,0.05029854058634,0.0042913986056643
"Incidence","Sudan","Female","85 to 89","Major depressive disorder","Rate",2019,5705.5533998435,7659.1450991025,4091.9894232475,85,0.057055533998435,0.00488369320606308
"Incidence","Sudan","Male","90 to 94","Major depressive disorder","Rate",2019,5139.6336772106,7408.9992446175,3419.8742857125,90,0.051396336772106,0.00438736425921371
"Incidence","Sudan","Female","90 to 94","Major depressive disorder","Rate",2019,6006.8664437962,8789.7895909725,3966.253668,90,0.060068664437962,0.00514906900053269
"Incidence","Sudan","Male","10 to 14","Bipolar disorder","Rate",2019,119.072754286896,195.3193473361,65.01279120525,10,0.00119072754286896,9.9281489780223e-05
"Incidence","Sudan","Female","10 to 14","Bipolar disorder","Rate",2019,170.858957876489,263.8035916422,98.855022399705,10,0.00170858957876489,0.000142494086977085
"Incidence","Sudan","Male","15 to 19","Bipolar disorder","Rate",2019,148.67303650323,218.5208000925,91.9811902264125,15,0.0014867303650323,0.000123978701109806
