measure,country,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Afghanistan,Females,55 to 59,Self-harm,Rate,2019,398.29,641.52,235.81
YLLs (Years of Life Lost),Afghanistan,Males,60 to 64,Self-harm,Rate,2019,187.05,296.32,113.39
YLLs (Years of Life Lost),Afghanistan,Females,60 to 64,Self-harm,Rate,2019,343.44,540.26,194.96
YLLs (Years of Life Lost),Afghanistan,Males,65 to 69,Self-harm,Rate,2019,158.12,242.45,97.53
YLLs (Years of Life Lost),Afghanistan,Females,65 to 69,Self-harm,Rate,2019,308.93,487.16,181.61
YLLs (Years of Life Lost),Afghanistan,Males,70 to 74,Self-harm,Rate,2019,148.73,225.92,87.76
YLLs (Years of Life Lost),Afghanistan,Females,70 to 74,Self-harm,Rate,2019,222.68,335.56,133.3
YLLs (Years of Life Lost),Afghanistan,Males,75 to 79,Self-harm,Rate,2019,117.21,176.25,70.05
YLLs (Years of Life Lost),Afghanistan,Females,75 to 79,Self-harm,Rate,2019,99.05,156.02,59.91
YLLs (Years of Life Lost),Afghanistan,Males,80 to 84,Self-harm,Rate,2019,130.06,193.25,66.35
YLLs (Years of Life Lost),Afghanistan,Females,80 to 84,Self-harm,Rate,2019,109.96,181.32,63.11
YLLs (Years of Life Lost),Afghanistan,Males,85 to 89,Self-harm,Rate,2019,132.13,201.4,64.87
YLLs (Years of Life Lost),Afghanistan,Females,85 to 89,Self-harm,Rate,2019,121.7,193.87,72.01
YLLs (Years of Life Lost),Afghanistan,Males,90 to 94,Self-harm,Rate,2019,114.9,170.56,55.37
YLLs (Years of Life Lost),Afghanistan,Females,90 to 94,Self-harm,Rate,2019,68.68,105.78,40.06
YLLs (Years of Life Lost),Afghanistan,Males,95 plus,Self-harm,Rate,2019,118.26,181.91,62.32
YLLs (Years of Life Lost),Afghanistan,Females,95 plus,Self-harm,Rate,2019,58.74,92.83,33.13
YLLs (Years of Life Lost),Afghanistan,Males,10 to 14,All causes,Rate,2019,5773.46,6559.25,5048.18
YLLs (Years of Life Lost),Afghanistan,Females,10 to 14,All causes,Rate,2019,5255.68,6156.39,4578.38
YLLs (Years of Life Lost),Afghanistan,Males,15 to 19,All causes,Rate,2019,10398.83,13172.6,8463.06
YLLs (Years of Life Lost),Afghanistan,Females,15 to 19,All causes,Rate,2019,8422.6,10690.07,7153.45
YLLs (Years of Life Lost),Afghanistan,Males,20 to 24,All causes,Rate,2019,14759.94,20650.13,11915.12
YLLs (Years of Life Lost),Afghanistan,Females,20 to 24,All causes,Rate,2019,11911.87,15517.24,9919.04
YLLs (Years of Life Lost),Afghanistan,Males,25 to 29,All causes,Rate,2019,15708.34,23211.09,12731.37
YLLs (Years of Life Lost),Afghanistan,Females,25 to 29,All causes,Rate,2019,14888.35,19707.5,11983.65
YLLs (Years of Life Lost),Afghanistan,Males,30 to 34,All causes,Rate,2019,17357.85,25915.36,13897.28
YLLs (Years of Life Lost),Afghanistan,Females,30 to 34,All causes,Rate,2019,17817.62,23067.24,14514.55
YLLs (Years of Life Lost),Afghanistan,Males,35 to 39,All causes,Rate,2019,21066.93,30469.74,16509.1
YLLs (Years of Life Lost),Afghanistan,Females,35 to 39,All causes,Rate,2019,24134.12,31065.61,19097.94
YLLs (Years of Life Lost),Afghanistan,Males,40 to 44,All causes,Rate,2019,28452.65,38331.71,21885.69
YLLs (Years of Life Lost),Afghanistan,Females,40 to 44,All causes,Rate,2019,32210.13,40817.34,25159.21
YLLs (Years of Life Lost),Afghanistan,Males,45 to 49,All causes,Rate,2019,36981.71,47894.25,28064.99
YLLs (Years of Life Lost),Afghanistan,Females,45 to 49,All causes,Rate,2019,42205.65,54336.02,31986.17
YLLs (Years of Life Lost),Afghanistan,Males,50 to 54,All causes,Rate,2019,49780.68,60893.34,38041.58
YLLs (Years of Life Lost),Afghanistan,Females,50 to 54,All causes,Rate,2019,55031.27,69998.77,42067.65
YLLs (Years of Life Lost),Afghanistan,Males,55 to 59,All causes,Rate,2019,64189.21,76341.45,49224.62
YLLs (Years of Life Lost),Afghanistan,Females,55 to 59,All causes,Rate,2019,71304.19,89337.19,54598.08
YLLs (Years of Life Lost),Afghanistan,Males,60 to 64,All causes,Rate,2019,83916.07,96597.6,66905.05
YLLs (Years of Life Lost),Afghanistan,Females,60 to 64,All causes,Rate,2019,87656.1,108058.84,70449.3
YLLs (Years of Life Lost),Afghanistan,Males,65 to 69,All causes,Rate,2019,102409.27,113672.4,83102.33
YLLs (Years of Life Lost),Afghanistan,Females,65 to 69,All causes,Rate,2019,104378.88,124165.26,85005.08
YLLs (Years of Life Lost),Afghanistan,Males,70 to 74,All causes,Rate,2019,121931.32,133073.05,102885.05
YLLs (Years of Life Lost),Afghanistan,Females,70 to 74,All causes,Rate,2019,128339.65,150533.52,108243.33
YLLs (Years of Life Lost),Afghanistan,Males,75 to 79,All causes,Rate,2019,139801.44,151350.22,118567.4
YLLs (Years of Life Lost),Afghanistan,Females,75 to 79,All causes,Rate,2019,152765.3,176873.26,128532.59
YLLs (Years of Life Lost),Afghanistan,Males,80 to 84,All causes,Rate,2019,160065.83,171644.47,140848.45
YLLs (Years of Life Lost),Afghanistan,Females,80 to 84,All causes,Rate,2019,174540.67,196792.94,153791.11
YLLs (Years of Life Lost),Afghanistan,Males,85 to 89,All causes,Rate,2019,185820.71,198985.28,163132.17
YLLs (Years of Life Lost),Afghanistan,Females,85 to 89,All causes,Rate,2019,196551.63,216446.67,165290.3
YLLs (Years of Life Lost),Afghanistan,Males,90 to 94,All causes,Rate,2019,208602.81,222533.08,184732.75
YLLs (Years of Life Lost),Afghanistan,Females,90 to 94,All causes,Rate,2019,208268.99,226592.06,176978.29
YLLs (Years of Life Lost),Afghanistan,Males,95 plus,All causes,Rate,2019,238642.44,250689.97,219133.94
YLLs (Years of Life Lost),Afghanistan,Females,95 plus,All causes,Rate,2019,212199.46,221811.85,193823.85
YLDs (Years Lived with Disability),Afghanistan,Males,10 to 14,Self-harm,Rate,2019,0.58,0.86,0.37
YLDs (Years Lived with Disability),Afghanistan,Females,10 to 14,Self-harm,Rate,2019,1.06,1.6,0.66
YLDs (Years Lived with Disability),Afghanistan,Males,15 to 19,Self-harm,Rate,2019,2.26,3.26,1.51
YLDs (Years Lived with Disability),Afghanistan,Females,15 to 19,Self-harm,Rate,2019,4.45,6.43,2.84
YLDs (Years Lived with Disability),Afghanistan,Males,20 to 24,Self-harm,Rate,2019,4.69,6.58,3.18
YLDs (Years Lived with Disability),Afghanistan,Females,20 to 24,Self-harm,Rate,2019,10.12,14.44,6.42
YLDs (Years Lived with Disability),Afghanistan,Males,25 to 29,Self-harm,Rate,2019,7.08,9.97,4.68
YLDs (Years Lived with Disability),Afghanistan,Females,25 to 29,Self-harm,Rate,2019,16,23.83,10.32
YLDs (Years Lived with Disability),Afghanistan,Males,30 to 34,Self-harm,Rate,2019,9.1,12.73,6.2
YLDs (Years Lived with Disability),Afghanistan,Females,30 to 34,Self-harm,Rate,2019,20.85,29.64,13.96
YLDs (Years Lived with Disability),Afghanistan,Males,35 to 39,Self-harm,Rate,2019,10.71,14.52,7.42
YLDs (Years Lived with Disability),Afghanistan,Females,35 to 39,Self-harm,Rate,2019,23.77,32.7,16.26
YLDs (Years Lived with Disability),Afghanistan,Males,40 to 44,Self-harm,Rate,2019,11.82,15.86,8.17
YLDs (Years Lived with Disability),Afghanistan,Females,40 to 44,Self-harm,Rate,2019,26.48,36.75,18.04
YLDs (Years Lived with Disability),Afghanistan,Males,45 to 49,Self-harm,Rate,2019,12.39,16.57,8.51
YLDs (Years Lived with Disability),Afghanistan,Females,45 to 49,Self-harm,Rate,2019,28.67,38.62,19.45
YLDs (Years Lived with Disability),Afghanistan,Males,50 to 54,Self-harm,Rate,2019,12.09,16.13,8.51
YLDs (Years Lived with Disability),Afghanistan,Females,50 to 54,Self-harm,Rate,2019,29.5,40.61,20.75
YLDs (Years Lived with Disability),Afghanistan,Males,55 to 59,Self-harm,Rate,2019,11.37,14.93,8.08
YLDs (Years Lived with Disability),Afghanistan,Females,55 to 59,Self-harm,Rate,2019,29.66,39.09,20.74
YLDs (Years Lived with Disability),Afghanistan,Males,60 to 64,Self-harm,Rate,2019,10.22,13.35,7.42
YLDs (Years Lived with Disability),Afghanistan,Females,60 to 64,Self-harm,Rate,2019,28.23,37.49,20.16
YLDs (Years Lived with Disability),Afghanistan,Males,65 to 69,Self-harm,Rate,2019,9.07,12.04,6.42
YLDs (Years Lived with Disability),Afghanistan,Females,65 to 69,Self-harm,Rate,2019,26.2,34.58,18.7
YLDs (Years Lived with Disability),Afghanistan,Males,70 to 74,Self-harm,Rate,2019,7.96,10.55,5.74
YLDs (Years Lived with Disability),Afghanistan,Females,70 to 74,Self-harm,Rate,2019,23.52,30.71,16.82
YLDs (Years Lived with Disability),Afghanistan,Males,75 to 79,Self-harm,Rate,2019,7.25,9.56,5.09
YLDs (Years Lived with Disability),Afghanistan,Females,75 to 79,Self-harm,Rate,2019,21.4,27.81,15.5
YLDs (Years Lived with Disability),Afghanistan,Males,80 to 84,Self-harm,Rate,2019,6.83,8.96,4.91
YLDs (Years Lived with Disability),Afghanistan,Females,80 to 84,Self-harm,Rate,2019,20.07,26.25,14.38
YLDs (Years Lived with Disability),Afghanistan,Males,85 to 89,Self-harm,Rate,2019,6.55,8.68,4.66
YLDs (Years Lived with Disability),Afghanistan,Females,85 to 89,Self-harm,Rate,2019,19.17,25.37,13.85
YLDs (Years Lived with Disability),Afghanistan,Males,90 to 94,Self-harm,Rate,2019,6.44,8.53,4.49
YLDs (Years Lived with Disability),Afghanistan,Females,90 to 94,Self-harm,Rate,2019,18.78,24.46,13.58
YLDs (Years Lived with Disability),Afghanistan,Males,95 plus,Self-harm,Rate,2019,6.46,8.57,4.64
YLDs (Years Lived with Disability),Afghanistan,Females,95 plus,Self-harm,Rate,2019,18.45,24.42,13.39
YLDs (Years Lived with Disability),Afghanistan,Males,10 to 14,All causes,Rate,2019,6041.12,8110.65,4294.6
YLDs (Years Lived with Disability),Afghanistan,Females,10 to 14,All causes,Rate,2019,6992.52,9284.46,4919.77
YLDs (Years Lived with Disability),Afghanistan,Males,15 to 19,All causes,Rate,2019,7252.57,9648.41,5226.39
YLDs (Years Lived with Disability),Afghanistan,Females,15 to 19,All causes,Rate,2019,9116.63,12201.14,6535.22
YLDs (Years Lived with Disability),Afghanistan,Males,20 to 24,All causes,Rate,2019,8382.37,10942.81,6112.38
YLDs (Years Lived with Disability),Afghanistan,Females,20 to 24,All causes,Rate,2019,11366.1,14854.75,8201.31
YLDs (Years Lived with Disability),Afghanistan,Males,25 to 29,All causes,Rate,2019,9647.05,12523.66,7039.7
YLDs (Years Lived with Disability),Afghanistan,Females,25 to 29,All causes,Rate,2019,13495.09,17619.08,9798.38
YLDs (Years Lived with Disability),Afghanistan,Males,30 to 34,All causes,Rate,2019,10911.15,14263.56,8006.57
YLDs (Years Lived with Disability),Afghanistan,Females,30 to 34,All causes,Rate,2019,15368.07,20230.99,11206.54
YLDs (Years Lived with Disability),Afghanistan,Males,35 to 39,All causes,Rate,2019,13493.23,19153.24,9690.54
YLDs (Years Lived with Disability),Afghanistan,Females,35 to 39,All causes,Rate,2019,18297.73,25028.84,13091.48
YLDs (Years Lived with Disability),Afghanistan,Males,40 to 44,All causes,Rate,2019,15151.86,21581.09,10686.33
YLDs (Years Lived with Disability),Afghanistan,Females,40 to 44,All causes,Rate,2019,19572.57,27237.88,13911.59
YLDs (Years Lived with Disability),Afghanistan,Males,45 to 49,All causes,Rate,2019,16448.22,23458.96,11641.2
YLDs (Years Lived with Disability),Afghanistan,Females,45 to 49,All causes,Rate,2019,20287.76,27111.57,14614.9
YLDs (Years Lived with Disability),Afghanistan,Males,50 to 54,All causes,Rate,2019,18432.38,25830.5,12982.69
YLDs (Years Lived with Disability),Afghanistan,Females,50 to 54,All causes,Rate,2019,21020.91,27804.14,15297.14
YLDs (Years Lived with Disability),Afghanistan,Males,55 to 59,All causes,Rate,2019,20412.11,27785.22,14438.58
YLDs (Years Lived with Disability),Afghanistan,Females,55 to 59,All causes,Rate,2019,21974.89,28786.56,16216.89
YLDs (Years Lived with Disability),Afghanistan,Males,60 to 64,All causes,Rate,2019,22036.08,29688.17,15794.37
YLDs (Years Lived with Disability),Afghanistan,Females,60 to 64,All causes,Rate,2019,23601.83,30600.46,17437.54
YLDs (Years Lived with Disability),Afghanistan,Males,65 to 69,All causes,Rate,2019,24348.33,32000.63,17878.53
YLDs (Years Lived with Disability),Afghanistan,Females,65 to 69,All causes,Rate,2019,26298.16,33854.55,19625.16
YLDs (Years Lived with Disability),Afghanistan,Males,70 to 74,All causes,Rate,2019,27192.93,35188.87,20261.66
YLDs (Years Lived with Disability),Afghanistan,Females,70 to 74,All causes,Rate,2019,29493.91,37234.85,22220.6
YLDs (Years Lived with Disability),Afghanistan,Males,75 to 79,All causes,Rate,2019,29569.27,37715.66,22076.66
YLDs (Years Lived with Disability),Afghanistan,Females,75 to 79,All causes,Rate,2019,32140.68,40307.45,24177.84
YLDs (Years Lived with Disability),Afghanistan,Males,80 to 84,All causes,Rate,2019,32927.55,41480.55,24760.25
YLDs (Years Lived with Disability),Afghanistan,Females,80 to 84,All causes,Rate,2019,35604.7,44927.95,26766.93
YLDs (Years Lived with Disability),Afghanistan,Males,85 to 89,All causes,Rate,2019,35676.71,45135.55,26958.05
YLDs (Years Lived with Disability),Afghanistan,Females,85 to 89,All causes,Rate,2019,38377.72,48295.33,29207.85
YLDs (Years Lived with Disability),Afghanistan,Males,90 to 94,All causes,Rate,2019,38857.44,48470.92,29486.7
YLDs (Years Lived with Disability),Afghanistan,Females,90 to 94,All causes,Rate,2019,41118.24,51057.19,31439.3
YLDs (Years Lived with Disability),Afghanistan,Males,95 plus,All causes,Rate,2019,42584.48,52366.36,32260.11
YLDs (Years Lived with Disability),Afghanistan,Females,95 plus,All causes,Rate,2019,44555.35,54798.7,34104.01
YLDs (Years Lived with Disability),Afghanistan,Males,10 to 14,Major depressive disorder,Rate,2019,239.23,435.56,114.5
YLDs (Years Lived with Disability),Afghanistan,Females,10 to 14,Major depressive disorder,Rate,2019,384.77,717.37,185.45
YLDs (Years Lived with Disability),Afghanistan,Males,15 to 19,Major depressive disorder,Rate,2019,615.58,1023.88,337.22
YLDs (Years Lived with Disability),Afghanistan,Females,15 to 19,Major depressive disorder,Rate,2019,917.89,1516.33,508.93
YLDs (Years Lived with Disability),Afghanistan,Males,20 to 24,Major depressive disorder,Rate,2019,862.62,1415.51,479.89
YLDs (Years Lived with Disability),Afghanistan,Females,20 to 24,Major depressive disorder,Rate,2019,1160.83,1886.14,630.01
YLDs (Years Lived with Disability),Afghanistan,Males,25 to 29,Major depressive disorder,Rate,2019,929.54,1542.83,543.6
YLDs (Years Lived with Disability),Afghanistan,Females,25 to 29,Major depressive disorder,Rate,2019,1187.32,1892.17,677.08
YLDs (Years Lived with Disability),Afghanistan,Males,30 to 34,Major depressive disorder,Rate,2019,1003.22,1653.38,572.92
YLDs (Years Lived with Disability),Afghanistan,Females,30 to 34,Major depressive disorder,Rate,2019,1265.97,2015.95,736.72
YLDs (Years Lived with Disability),Afghanistan,Males,35 to 39,Major depressive disorder,Rate,2019,1077.27,1617.38,657.53
YLDs (Years Lived with Disability),Afghanistan,Females,35 to 39,Major depressive disorder,Rate,2019,1425.78,2129.85,879.02
YLDs (Years Lived with Disability),Afghanistan,Males,40 to 44,Major depressive disorder,Rate,2019,1106.49,1727.35,651.47
YLDs (Years Lived with Disability),Afghanistan,Females,40 to 44,Major depressive disorder,Rate,2019,1499.85,2365.09,891.96
YLDs (Years Lived with Disability),Afghanistan,Males,45 to 49,Major depressive disorder,Rate,2019,1042.98,1574.69,660.21
YLDs (Years Lived with Disability),Afghanistan,Females,45 to 49,Major depressive disorder,Rate,2019,1413.88,2138.01,887.2
YLDs (Years Lived with Disability),Afghanistan,Males,50 to 54,Major depressive disorder,Rate,2019,974.98,1437.13,625.85
YLDs (Years Lived with Disability),Afghanistan,Females,50 to 54,Major depressive disorder,Rate,2019,1318.78,1908.36,845.77
YLDs (Years Lived with Disability),Afghanistan,Males,55 to 59,Major depressive disorder,Rate,2019,906.49,1389.45,558.27
YLDs (Years Lived with Disability),Afghanistan,Females,55 to 59,Major depressive disorder,Rate,2019,1225.27,1836.43,745.95
YLDs (Years Lived with Disability),Afghanistan,Males,60 to 64,Major depressive disorder,Rate,2019,848.49,1295.84,505.69
YLDs (Years Lived with Disability),Afghanistan,Females,60 to 64,Major depressive disorder,Rate,2019,1126.5,1720.12,656.19
YLDs (Years Lived with Disability),Afghanistan,Males,65 to 69,Major depressive disorder,Rate,2019,808.6,1177.48,518.95
YLDs (Years Lived with Disability),Afghanistan,Females,65 to 69,Major depressive disorder,Rate,2019,1013.57,1484.17,630.59
YLDs (Years Lived with Disability),Afghanistan,Males,70 to 74,Major depressive disorder,Rate,2019,763.02,1093.42,496.75
YLDs (Years Lived with Disability),Afghanistan,Females,70 to 74,Major depressive disorder,Rate,2019,906.66,1314.27,578.62
YLDs (Years Lived with Disability),Afghanistan,Males,75 to 79,Major depressive disorder,Rate,2019,726.39,1125.97,436.66
YLDs (Years Lived with Disability),Afghanistan,Females,75 to 79,Major depressive disorder,Rate,2019,804.86,1245.79,475.18
YLDs (Years Lived with Disability),Afghanistan,Males,80 to 84,Major depressive disorder,Rate,2019,704.06,1106.47,408.17
YLDs (Years Lived with Disability),Afghanistan,Females,80 to 84,Major depressive disorder,Rate,2019,760.27,1186.33,414.73
YLDs (Years Lived with Disability),Afghanistan,Males,85 to 89,Major depressive disorder,Rate,2019,715.17,1044.1,444.55
YLDs (Years Lived with Disability),Afghanistan,Females,85 to 89,Major depressive disorder,Rate,2019,817.02,1221.44,504.08
YLDs (Years Lived with Disability),Afghanistan,Males,90 to 94,Major depressive disorder,Rate,2019,724.26,1074.88,428.88
YLDs (Years Lived with Disability),Afghanistan,Females,90 to 94,Major depressive disorder,Rate,2019,872.96,1349.68,512.45
YLDs (Years Lived with Disability),Afghanistan,Males,95 plus,Major depressive disorder,Rate,2019,727.86,1184.82,382.53
YLDs (Years Lived with Disability),Afghanistan,Females,95 plus,Major depressive disorder,Rate,2019,918.92,1522.1,489.66
YLDs (Years Lived with Disability),Afghanistan,Males,10 to 14,Bipolar disorder,Rate,2019,49.58,98,17.81
YLDs (Years Lived with Disability),Afghanistan,Females,10 to 14,Bipolar disorder,Rate,2019,72.71,134.14,28.53
YLDs (Years Lived with Disability),Afghanistan,Males,15 to 19,Bipolar disorder,Rate,2019,174.54,311.39,79.92
YLDs (Years Lived with Disability),Afghanistan,Females,15 to 19,Bipolar disorder,Rate,2019,246.86,429.55,112.8
YLDs (Years Lived with Disability),Afghanistan,Males,20 to 24,Bipolar disorder,Rate,2019,211.6,356.27,103.81
YLDs (Years Lived with Disability),Afghanistan,Females,20 to 24,Bipolar disorder,Rate,2019,270.61,467.37,133.11
YLDs (Years Lived with Disability),Afghanistan,Males,25 to 29,Bipolar disorder,Rate,2019,212.29,364.14,108.21
YLDs (Years Lived with Disability),Afghanistan,Females,25 to 29,Bipolar disorder,Rate,2019,248.2,425.31,129.21
YLDs (Years Lived with Disability),Afghanistan,Males,30 to 34,Bipolar disorder,Rate,2019,205,344.54,108.51
YLDs (Years Lived with Disability),Afghanistan,Females,30 to 34,Bipolar disorder,Rate,2019,223.49,375.08,114.02
YLDs (Years Lived with Disability),Afghanistan,Males,35 to 39,Bipolar disorder,Rate,2019,201.73,337.64,104.87
YLDs (Years Lived with Disability),Afghanistan,Females,35 to 39,Bipolar disorder,Rate,2019,211.95,358.19,111.62
YLDs (Years Lived with Disability),Afghanistan,Males,40 to 44,Bipolar disorder,Rate,2019,206.85,348.04,108.23
YLDs (Years Lived with Disability),Afghanistan,Females,40 to 44,Bipolar disorder,Rate,2019,212.62,356.4,112.72
YLDs (Years Lived with Disability),Afghanistan,Males,45 to 49,Bipolar disorder,Rate,2019,208.47,356.4,110.58
YLDs (Years Lived with Disability),Afghanistan,Females,45 to 49,Bipolar disorder,Rate,2019,209.62,347.85,112.54
YLDs (Years Lived with Disability),Afghanistan,Males,50 to 54,Bipolar disorder,Rate,2019,201.1,349.17,103.32
YLDs (Years Lived with Disability),Afghanistan,Females,50 to 54,Bipolar disorder,Rate,2019,201.19,345.53,103.96
YLDs (Years Lived with Disability),Afghanistan,Males,55 to 59,Bipolar disorder,Rate,2019,190.64,318.94,102.55
YLDs (Years Lived with Disability),Afghanistan,Females,55 to 59,Bipolar disorder,Rate,2019,188.61,314.43,105.74
YLDs (Years Lived with Disability),Afghanistan,Males,60 to 64,Bipolar disorder,Rate,2019,171.42,282.87,95.97
YLDs (Years Lived with Disability),Afghanistan,Females,60 to 64,Bipolar disorder,Rate,2019,172.6,284.37,91.57
YLDs (Years Lived with Disability),Afghanistan,Males,65 to 69,Bipolar disorder,Rate,2019,149.7,248.47,79.2
YLDs (Years Lived with Disability),Afghanistan,Females,65 to 69,Bipolar disorder,Rate,2019,150.62,249.94,80.38
YLDs (Years Lived with Disability),Afghanistan,Males,70 to 74,Bipolar disorder,Rate,2019,124.51,212.19,63.69
YLDs (Years Lived with Disability),Afghanistan,Females,70 to 74,Bipolar disorder,Rate,2019,125.67,208.21,63.56
YLDs (Years Lived with Disability),Afghanistan,Males,75 to 79,Bipolar disorder,Rate,2019,98.57,168.93,48.59
YLDs (Years Lived with Disability),Afghanistan,Females,75 to 79,Bipolar disorder,Rate,2019,98.35,162.8,51.3
YLDs (Years Lived with Disability),Afghanistan,Males,80 to 84,Bipolar disorder,Rate,2019,75.09,122.75,38.09
YLDs (Years Lived with Disability),Afghanistan,Females,80 to 84,Bipolar disorder,Rate,2019,74.64,124.67,35.68
YLDs (Years Lived with Disability),Afghanistan,Males,85 to 89,Bipolar disorder,Rate,2019,58.74,102.15,28.01
YLDs (Years Lived with Disability),Afghanistan,Females,85 to 89,Bipolar disorder,Rate,2019,58.12,101.14,29.46
YLDs (Years Lived with Disability),Afghanistan,Males,90 to 94,Bipolar disorder,Rate,2019,47.94,82.59,21.31
YLDs (Years Lived with Disability),Afghanistan,Females,90 to 94,Bipolar disorder,Rate,2019,46.97,81.21,22.13
YLDs (Years Lived with Disability),Afghanistan,Males,95 plus,Bipolar disorder,Rate,2019,40.65,72.72,18.76
YLDs (Years Lived with Disability),Afghanistan,Females,95 plus,Bipolar disorder,Rate,2019,39.84,71.18,16.96
YLDs (Years Lived with Disability),Afghanistan,Males,10 to 14,Anxiety disorders,Rate,2019,486.65,794.76,276.68
YLDs (Years Lived with Disability),Afghanistan,Females,10 to 14,Anxiety disorders,Rate,2019,663.76,1084.63,365.77
YLDs (Years Lived with Disability),Afghanistan,Males,15 to 19,Anxiety disorders,Rate,2019,538.05,844.6,326.19
YLDs (Years Lived with Disability),Afghanistan,Females,15 to 19,Anxiety disorders,Rate,2019,848.5,1333.03,523.76
YLDs (Years Lived with Disability),Afghanistan,Males,20 to 24,Anxiety disorders,Rate,2019,454.32,709.7,256.05
YLDs (Years Lived with Disability),Afghanistan,Females,20 to 24,Anxiety disorders,Rate,2019,865.87,1369.17,516.49
YLDs (Years Lived with Disability),Afghanistan,Males,25 to 29,Anxiety disorders,Rate,2019,406.09,668.75,226.42
YLDs (Years Lived with Disability),Afghanistan,Females,25 to 29,Anxiety disorders,Rate,2019,825.09,1364.94,468.33
YLDs (Years Lived with Disability),Afghanistan,Males,30 to 34,Anxiety disorders,Rate,2019,390.51,626.42,227.13
YLDs (Years Lived with Disability),Afghanistan,Females,30 to 34,Anxiety disorders,Rate,2019,772.82,1239.43,441.83
YLDs (Years Lived with Disability),Afghanistan,Males,35 to 39,Anxiety disorders,Rate,2019,389.6,610.37,231.95
YLDs (Years Lived with Disability),Afghanistan,Females,35 to 39,Anxiety disorders,Rate,2019,704.04,1081.17,424.94
YLDs (Years Lived with Disability),Afghanistan,Males,40 to 44,Anxiety disorders,Rate,2019,390.61,629.81,217.32
YLDs (Years Lived with Disability),Afghanistan,Females,40 to 44,Anxiety disorders,Rate,2019,648.53,1027.61,377.27
YLDs (Years Lived with Disability),Afghanistan,Males,45 to 49,Anxiety disorders,Rate,2019,381.63,597.78,218.87
YLDs (Years Lived with Disability),Afghanistan,Females,45 to 49,Anxiety disorders,Rate,2019,608.4,960.64,339.78
YLDs (Years Lived with Disability),Afghanistan,Males,50 to 54,Anxiety disorders,Rate,2019,361.97,553.31,215.99
YLDs (Years Lived with Disability),Afghanistan,Females,50 to 54,Anxiety disorders,Rate,2019,572.49,892.5,340.6
YLDs (Years Lived with Disability),Afghanistan,Males,55 to 59,Anxiety disorders,Rate,2019,338.78,505.75,211.13
YLDs (Years Lived with Disability),Afghanistan,Females,55 to 59,Anxiety disorders,Rate,2019,541.46,822.01,340.87
YLDs (Years Lived with Disability),Afghanistan,Males,60 to 64,Anxiety disorders,Rate,2019,316.3,504.44,183.48
YLDs (Years Lived with Disability),Afghanistan,Females,60 to 64,Anxiety disorders,Rate,2019,512.67,784.78,307.79
YLDs (Years Lived with Disability),Afghanistan,Males,65 to 69,Anxiety disorders,Rate,2019,292.83,462.55,172.04
YLDs (Years Lived with Disability),Afghanistan,Females,65 to 69,Anxiety disorders,Rate,2019,485.03,765.99,287.14
YLDs (Years Lived with Disability),Afghanistan,Males,70 to 74,Anxiety disorders,Rate,2019,262.93,418.96,156.81
YLDs (Years Lived with Disability),Afghanistan,Females,70 to 74,Anxiety disorders,Rate,2019,456.63,712.7,275.28
YLDs (Years Lived with Disability),Afghanistan,Males,75 to 79,Anxiety disorders,Rate,2019,233.03,361.79,140.98
