measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Egypt,Male,25 to 29,Self-harm,Rate,2019,5.417888539715624,10.443930940918682,2.726731424186363
Deaths,Egypt,Female,25 to 29,Self-harm,Rate,2019,3.4251834079601613,6.038937477276025,1.594276680852361
Deaths,Egypt,Male,30 to 34,Self-harm,Number,2019,202.31425821114448,428.3088955044834,97.71199936485704
Deaths,Egypt,Female,30 to 34,Self-harm,Number,2019,117.12537056078406,201.55391201654493,57.78552938951673
Deaths,Egypt,Male,30 to 34,Self-harm,Percent,2019,0.03403356040062025,0.06794825741132553,0.017198205377249247
Deaths,Egypt,Female,30 to 34,Self-harm,Percent,2019,0.03624605330990585,0.05914276842981533,0.018650143286240154
Deaths,Egypt,Male,30 to 34,Self-harm,Rate,2019,5.0849731969757945,10.765129817956815,2.455896594666428
Deaths,Egypt,Female,30 to 34,Self-harm,Rate,2019,3.090748580806603,5.318680867676435,1.524866406797146
Deaths,Egypt,Male,35 to 39,Self-harm,Number,2019,193.0500840109971,417.92945351644767,85.78096008107727
Deaths,Egypt,Female,35 to 39,Self-harm,Number,2019,111.01658574069072,193.9152871834717,47.86930756581836
Deaths,Egypt,Male,35 to 39,Self-harm,Percent,2019,0.026481816832769782,0.0558747439112603,0.012085477154134036
Deaths,Egypt,Female,35 to 39,Self-harm,Percent,2019,0.0263125933646293,0.043758900969220846,0.01254749856608022
Deaths,Egypt,Male,35 to 39,Self-harm,Rate,2019,5.288603265165302,11.4491691821793,2.349967718988179
Deaths,Egypt,Female,35 to 39,Self-harm,Rate,2019,3.2609942201231275,5.69605547207025,1.406110035288307
Deaths,Egypt,Male,40 to 44,Self-harm,Number,2019,180.403064837062,395.9493762033592,75.31944581294341
Deaths,Egypt,Female,40 to 44,Self-harm,Number,2019,88.82732188666286,152.13776003834352,39.16183747206396
Deaths,Egypt,Male,40 to 44,Self-harm,Percent,2019,0.01931142292679634,0.03986297251913345,0.00843869453302277
Deaths,Egypt,Female,40 to 44,Self-harm,Percent,2019,0.017687514049681226,0.028789493226671986,0.008480731312148429
Deaths,Egypt,Male,40 to 44,Self-harm,Rate,2019,6.0593375025213945,13.299058452781175,2.529812578825627
Deaths,Egypt,Female,40 to 44,Self-harm,Rate,2019,3.2260019805822293,5.525290020915641,1.422266962065042
Deaths,Egypt,Male,45 to 49,Self-harm,Number,2019,176.79535621113106,375.02684588255534,64.60558882931943
Deaths,Egypt,Female,45 to 49,Self-harm,Number,2019,68.16076848075771,118.04018306744905,31.190901012161277
Deaths,Egypt,Male,45 to 49,Self-harm,Percent,2019,0.012424877653141137,0.026402243673706152,0.004659205865085212
Deaths,Egypt,Female,45 to 49,Self-harm,Percent,2019,0.009369782219737256,0.01574585674316448,0.004888639208691921
Deaths,Egypt,Male,45 to 49,Self-harm,Rate,2019,7.24415387252766,15.366648967055275,2.6472009024147547
Deaths,Egypt,Female,45 to 49,Self-harm,Rate,2019,3.042657635168577,5.269246111394163,1.3923439425309836
Deaths,Egypt,Male,50 to 54,Self-harm,Number,2019,188.1380312304649,402.94657103323755,69.1608909452518
Deaths,Egypt,Female,50 to 54,Self-harm,Number,2019,67.98885394174506,115.4445887440943,34.25526273294782
Deaths,Egypt,Male,50 to 54,Self-harm,Percent,2019,0.007900210975491963,0.016049858792550328,0.0028900255731944325
Deaths,Egypt,Female,50 to 54,Self-harm,Percent,2019,0.00526739214586233,0.008716818535788116,0.0028970136651070406
Deaths,Egypt,Male,50 to 54,Self-harm,Rate,2019,8.705787490416494,18.645710250418187,3.200309981343818
Deaths,Egypt,Female,50 to 54,Self-harm,Rate,2019,3.4053459098754435,5.782253050386745,1.7157373904155344
Deaths,Egypt,Male,55 to 59,Self-harm,Number,2019,157.3347421600149,319.8078061267272,58.57692907550196
Deaths,Egypt,Female,55 to 59,Self-harm,Number,2019,60.8641739165115,106.90059364762932,32.27496318232716
Deaths,Egypt,Male,55 to 59,Self-harm,Percent,2019,0.004931229496540411,0.009474266316355973,0.0018663997263312425
Deaths,Egypt,Female,55 to 59,Self-harm,Percent,2019,0.003194863811578258,0.0054507547360926455,0.0018229884644962808
Deaths,Egypt,Male,55 to 59,Self-harm,Rate,2019,8.570980140041788,17.421875914442037,3.191041526353723
Deaths,Egypt,Female,55 to 59,Self-harm,Rate,2019,3.599450777772534,6.322001929692173,1.908711379021805
Deaths,Egypt,Male,60 to 64,Self-harm,Number,2019,123.99740048471719,232.44332409187646,45.14003177682166
Deaths,Egypt,Female,60 to 64,Self-harm,Number,2019,54.167624067655844,91.53959263679842,30.595803233723743
Deaths,Egypt,Male,60 to 64,Self-harm,Percent,2019,0.0031703674950170646,0.0058182277508905846,0.001253306759009507
Deaths,Egypt,Female,60 to 64,Self-harm,Percent,2019,0.0020388401969312093,0.003220403944738161,0.0012213241575123074
Deaths,Egypt,Male,60 to 64,Self-harm,Rate,2019,8.445637645073761,15.832042289776762,3.074551161426467
Deaths,Egypt,Female,60 to 64,Self-harm,Rate,2019,4.2461694929012,7.17573702626307,2.3983877553791295
Deaths,Egypt,Male,65 to 69,Self-harm,Number,2019,82.71800369531269,158.40791486716014,35.7960863016753
Deaths,Egypt,Female,65 to 69,Self-harm,Number,2019,47.952682655069474,85.03216938182692,27.445416223128742
Deaths,Egypt,Male,65 to 69,Self-harm,Percent,2019,0.002063172385398363,0.003762091867600634,0.0009624764517042824
Deaths,Egypt,Female,65 to 69,Self-harm,Percent,2019,0.0014979469690647627,0.0025130846425793305,0.000892829492124431
Deaths,Egypt,Male,65 to 69,Self-harm,Rate,2019,7.70822890865153,14.761532123477034,3.335723964803484
Deaths,Egypt,Female,65 to 69,Self-harm,Rate,2019,5.221965601829548,9.259858655976585,2.9887591581890636
Deaths,Egypt,Male,70 to 74,Self-harm,Number,2019,51.66198655165062,88.85141520928384,26.568721759056974
Deaths,Egypt,Female,70 to 74,Self-harm,Number,2019,29.567309816057815,48.13616665533144,17.688576960961004
Deaths,Egypt,Male,70 to 74,Self-harm,Percent,2019,0.0014626581728393127,0.002447979963077486,0.0007578666637813719
Deaths,Egypt,Female,70 to 74,Self-harm,Percent,2019,0.0009703149930848996,0.0015707259448595528,0.0006118811409089808
Deaths,Egypt,Male,70 to 74,Self-harm,Rate,2019,7.50726696188635,12.911452664535423,3.8608365723974774
Deaths,Egypt,Female,70 to 74,Self-harm,Rate,2019,5.420244526613254,8.824265564532524,3.2426491639816435
Deaths,Egypt,Male,75 to 79,Self-harm,Number,2019,32.121264618894145,52.71317858324701,16.988109735648713
Deaths,Egypt,Female,75 to 79,Self-harm,Number,2019,16.88916526592053,29.23229857169621,9.721749465905324
Deaths,Egypt,Male,75 to 79,Self-harm,Percent,2019,0.000993792951357869,0.001592475187498672,0.0005447909975367984
Deaths,Egypt,Female,75 to 79,Self-harm,Percent,2019,0.0005669611554390965,0.0009667022117515807,0.00033483945919279135
Deaths,Egypt,Male,75 to 79,Self-harm,Rate,2019,7.499576971002614,12.30731556997078,3.966333146155021
Deaths,Egypt,Female,75 to 79,Self-harm,Rate,2019,5.223213485971052,9.04050222267122,3.006588669009686
Deaths,Egypt,Male,80 to 84,Self-harm,Number,2019,20.799496629980972,34.442795187087775,11.53721855504069
Deaths,Egypt,Female,80 to 84,Self-harm,Number,2019,10.820576728792739,18.008464453055645,6.101809674066388
Deaths,Egypt,Male,80 to 84,Self-harm,Percent,2019,0.0008704106976932359,0.0014282803926099026,0.0004994341268327637
Deaths,Egypt,Female,80 to 84,Self-harm,Percent,2019,0.00046890815323307844,0.0007801714931019807,0.0002764510014292685
Deaths,Egypt,Male,80 to 84,Self-harm,Rate,2019,9.329668289085916,15.44940532749556,5.175049377976954
Deaths,Egypt,Female,80 to 84,Self-harm,Rate,2019,7.193021842572077,11.97119907826432,4.056202489465089
Deaths,Egypt,Male,85 to 89,Self-harm,Number,2019,11.181833048620407,18.48025343273805,6.29937460759249
Deaths,Egypt,Female,85 to 89,Self-harm,Number,2019,5.844228185351633,9.741608889092461,3.460966186569908
Deaths,Egypt,Male,85 to 89,Self-harm,Percent,2019,0.0007049497190789577,0.0011603422854644513,0.00040290578301933075
Deaths,Egypt,Female,85 to 89,Self-harm,Percent,2019,0.0004530358513292984,0.0007590085859847555,0.00027293203231404584
Deaths,Egypt,Male,85 to 89,Self-harm,Rate,2019,10.553893182404206,17.442455084494306,5.945619688239122
Deaths,Egypt,Female,85 to 89,Self-harm,Rate,2019,12.06236513532993,20.10647765608056,7.143362055587625
Deaths,Vanuatu,Male,10 to 14,Self-harm,Number,2019,0.7108235465154361,1.1934740956253302,0.3597559204014619
Deaths,Vanuatu,Female,10 to 14,Self-harm,Number,2019,0.35785912680300364,0.5836882218806352,0.19822171741114358
Deaths,Vanuatu,Male,10 to 14,Self-harm,Percent,2019,0.07009706927912106,0.11251786278744572,0.036315064050992794
Deaths,Vanuatu,Female,10 to 14,Self-harm,Percent,2019,0.050900187537725065,0.08114512956418196,0.02911801293203465
Deaths,Vanuatu,Male,10 to 14,Self-harm,Rate,2019,3.967755025503668,6.661868284948564,2.0081261631315406
Deaths,Vanuatu,Female,10 to 14,Self-harm,Rate,2019,2.1402175916223203,3.4908144208918364,1.1854877376886184
Deaths,Vanuatu,Male,15 to 19,Self-harm,Number,2019,4.486321606952362,6.4889115784257605,2.423384388918248
Deaths,Vanuatu,Female,15 to 19,Self-harm,Number,2019,2.2805252251541317,3.418029306951561,1.3607438886402476
Deaths,Vanuatu,Male,15 to 19,Self-harm,Percent,2019,0.19843737989711355,0.2791871899561004,0.10687252570550564
Deaths,Vanuatu,Female,15 to 19,Self-harm,Percent,2019,0.1777946068005436,0.25828902276832644,0.11360886325822059
Deaths,Vanuatu,Male,15 to 19,Self-harm,Rate,2019,31.172432424664862,45.08708367555285,16.838468732485538
Deaths,Vanuatu,Female,15 to 19,Self-harm,Rate,2019,16.11434132583535,24.152020028720955,9.615105869794299
Deaths,Vanuatu,Male,20 to 24,Self-harm,Number,2019,7.936334492955516,11.888364842919966,4.116004033918457
Deaths,Vanuatu,Female,20 to 24,Self-harm,Number,2019,1.9774498607222752,3.244481600197141,0.9423656549483316
Deaths,Vanuatu,Male,20 to 24,Self-harm,Percent,2019,0.19899294693157885,0.28287561988575793,0.10757475560912416
Deaths,Vanuatu,Female,20 to 24,Self-harm,Percent,2019,0.10841239062292278,0.16114940492184482,0.059542249056050836
Deaths,Vanuatu,Male,20 to 24,Self-harm,Rate,2019,61.70896813857827,92.43797977047467,32.00398899678249
Deaths,Vanuatu,Female,20 to 24,Self-harm,Rate,2019,14.516663060773295,23.818073536255042,6.918003315610324
Deaths,Vanuatu,Male,25 to 29,Self-harm,Number,2019,6.220489793065676,9.941220450073548,3.218047505046325
Deaths,Vanuatu,Female,25 to 29,Self-harm,Number,2019,1.8033499285148193,3.0952651182892703,0.5930202239411752
Deaths,Vanuatu,Male,25 to 29,Self-harm,Percent,2019,0.13460749597110946,0.20298151625545893,0.07452227675478097
Deaths,Vanuatu,Female,25 to 29,Self-harm,Percent,2019,0.08065014618516582,0.12545304631285295,0.03519546263207113
Deaths,Vanuatu,Male,25 to 29,Self-harm,Rate,2019,53.34391854474108,85.25110908713263,27.59642241896463
Deaths,Vanuatu,Female,25 to 29,Self-harm,Rate,2019,14.041124941566023,24.10015026255263,4.617335174705147
Deaths,Vanuatu,Male,30 to 34,Self-harm,Number,2019,5.233314649560236,8.43979827002175,2.446250530201848
Deaths,Vanuatu,Female,30 to 34,Self-harm,Number,2019,1.0683573410363072,1.8187091069203054,0.38929535795532405
Deaths,Vanuatu,Male,30 to 34,Self-harm,Percent,2019,0.10159804641801756,0.15689130265863954,0.05436884709960589
Deaths,Vanuatu,Female,30 to 34,Self-harm,Percent,2019,0.04323385222076376,0.06559305456672881,0.017908799426371046
Deaths,Vanuatu,Male,30 to 34,Self-harm,Rate,2019,51.80629818112505,83.5483312286662,24.216236339624924
Deaths,Vanuatu,Female,30 to 34,Self-harm,Rate,2019,9.857669610557098,16.781120702873935,3.592005101892896
Deaths,Vanuatu,Male,35 to 39,Self-harm,Number,2019,4.162016051765254,6.68511598701967,2.045989872964282
Deaths,Vanuatu,Female,35 to 39,Self-harm,Number,2019,0.8011306354693686,1.4289250550173778,0.38317309258202975
Deaths,Vanuatu,Male,35 to 39,Self-harm,Percent,2019,0.07170381724988853,0.10801146790644642,0.03970536677209275
Deaths,Vanuatu,Female,35 to 39,Self-harm,Percent,2019,0.027121900651651605,0.04263121874224564,0.014700940326904884
Deaths,Vanuatu,Male,35 to 39,Self-harm,Rate,2019,47.64306265736459,76.5252694559506,23.420674620566924
Deaths,Vanuatu,Female,35 to 39,Self-harm,Rate,2019,9.067144488220805,16.172480945121467,4.336728169687511
Deaths,Vanuatu,Male,40 to 44,Self-harm,Number,2019,3.134772989390954,5.270867244175206,1.634419740636784
Deaths,Vanuatu,Female,40 to 44,Self-harm,Number,2019,0.6485304738810359,1.0973702124700055,0.34392527295247577
Deaths,Vanuatu,Male,40 to 44,Self-harm,Percent,2019,0.04504986256996966,0.06891352798692195,0.026276064041958674
Deaths,Vanuatu,Female,40 to 44,Self-harm,Percent,2019,0.017711626066332368,0.027117698720592415,0.010569096321533699
Deaths,Vanuatu,Male,40 to 44,Self-harm,Rate,2019,41.511139280215254,69.79762331785024,21.643234047735152
Deaths,Vanuatu,Female,40 to 44,Self-harm,Rate,2019,8.917887168835287,15.089844088102893,4.729287060863192
Deaths,Vanuatu,Male,45 to 49,Self-harm,Number,2019,1.8931949088500928,3.113125259074635,0.951267083106908
Deaths,Vanuatu,Female,45 to 49,Self-harm,Number,2019,0.3818964557410572,0.6438446921835613,0.19904814339047125
Deaths,Vanuatu,Male,45 to 49,Self-harm,Percent,2019,0.023370414363556535,0.03615998208494629,0.012617243388292447
Deaths,Vanuatu,Female,45 to 49,Self-harm,Percent,2019,0.00835645965319748,0.013213144835689727,0.0049458957775149704
Deaths,Vanuatu,Male,45 to 49,Self-harm,Rate,2019,29.411022565699103,48.36279498559647,14.778054555543598
Deaths,Vanuatu,Female,45 to 49,Self-harm,Rate,2019,6.349487833804053,10.70469227567471,3.3094147531341127
Deaths,Vanuatu,Male,50 to 54,Self-harm,Number,2019,1.3084182824125836,2.0899967760211453,0.6726530498400504
Deaths,Vanuatu,Female,50 to 54,Self-harm,Number,2019,0.44956545205877846,0.7417549139301678,0.25933853038981425
Deaths,Vanuatu,Male,50 to 54,Self-harm,Percent,2019,0.014273421647443019,0.021524064962579154,0.007694845358561455
Deaths,Vanuatu,Female,50 to 54,Self-harm,Percent,2019,0.008427785429889072,0.012756377095762998,0.005269975461954552
Deaths,Vanuatu,Male,50 to 54,Self-harm,Rate,2019,24.92784827927439,39.81840000031374,12.815315558023196
Deaths,Vanuatu,Female,50 to 54,Self-harm,Rate,2019,9.258289810727716,15.275599871493268,5.34078244322741
Deaths,Vanuatu,Male,55 to 59,Self-harm,Number,2019,1.3570523290520387,2.18305423701573,0.7433534722293181
Deaths,Vanuatu,Female,55 to 59,Self-harm,Number,2019,0.3716245068165961,0.606861337916847,0.21415027523987162
Deaths,Vanuatu,Male,55 to 59,Self-harm,Percent,2019,0.01312168882273215,0.019686725595668225,0.00755743263028012
Deaths,Vanuatu,Female,55 to 59,Self-harm,Percent,2019,0.0058415498489677396,0.00874549174947647,0.0036600814613100413
Deaths,Vanuatu,Male,55 to 59,Self-harm,Rate,2019,31.809435174552647,51.17099816142864,17.424275822270353
Deaths,Vanuatu,Female,55 to 59,Self-harm,Rate,2019,9.544976567494407,15.586908677670479,5.500335208237052
Deaths,Vanuatu,Male,60 to 64,Self-harm,Number,2019,0.9683831460489796,1.5625255919345453,0.5087081621267091
Deaths,Vanuatu,Female,60 to 64,Self-harm,Number,2019,0.4817073117389525,0.7621601748648996,0.2794540763404461
Deaths,Vanuatu,Male,60 to 64,Self-harm,Percent,2019,0.007538495844149564,0.011407982289633706,0.004092972703001501
Deaths,Vanuatu,Female,60 to 64,Self-harm,Percent,2019,0.006149711105206361,0.009168361323599258,0.003811002789359694
Deaths,Vanuatu,Male,60 to 64,Self-harm,Rate,2019,26.03905154065292,42.01506871322081,13.678757325355404
Deaths,Vanuatu,Female,60 to 64,Self-harm,Rate,2019,14.535929305702119,22.998833838464837,8.432765288969417
Deaths,Vanuatu,Male,65 to 69,Self-harm,Number,2019,0.9207970922738775,1.4727369334355023,0.4796662165677712
Deaths,Vanuatu,Female,65 to 69,Self-harm,Number,2019,0.26389528761208425,0.42364473413246234,0.15231512785761925
Deaths,Vanuatu,Male,65 to 69,Self-harm,Percent,2019,0.007177603745749407,0.010935722882755995,0.0038725913954948793
Deaths,Vanuatu,Female,65 to 69,Self-harm,Percent,2019,0.003169318807958925,0.004779141262144622,0.0018958620957433038
Deaths,Vanuatu,Male,65 to 69,Self-harm,Rate,2019,33.88614973147816,54.198025450138736,17.652142227782562
Deaths,Vanuatu,Female,65 to 69,Self-harm,Rate,2019,10.866459660610467,17.444488893820015,6.271905070917802
Deaths,Vanuatu,Male,70 to 74,Self-harm,Number,2019,0.5127206927458309,0.7754153400557173,0.282153133492518
Deaths,Vanuatu,Female,70 to 74,Self-harm,Number,2019,0.22167125911894758,0.34518943099215904,0.13762052044508213
Deaths,Vanuatu,Male,70 to 74,Self-harm,Percent,2019,0.004049436132327328,0.005970739190389535,0.0022689887855740147
Deaths,Vanuatu,Female,70 to 74,Self-harm,Percent,2019,0.002375830291450768,0.0034567539854924003,0.0015469430743723033
Deaths,Vanuatu,Male,70 to 74,Self-harm,Rate,2019,26.385759823930428,39.90461710630432,14.520234738396939
Deaths,Vanuatu,Female,70 to 74,Self-harm,Rate,2019,12.72941221422133,19.822409890015898,7.902821235571657
Deaths,Vanuatu,Male,75 to 79,Self-harm,Number,2019,0.3696483434236025,0.5738657811254466,0.19967108763497615
Deaths,Vanuatu,Female,75 to 79,Self-harm,Number,2019,0.20758844037339966,0.3228763194998429,0.1205571844770537
Deaths,Vanuatu,Male,75 to 79,Self-harm,Percent,2019,0.0029370868120551803,0.004302444411311517,0.0015975830181015394
Deaths,Vanuatu,Female,75 to 79,Self-harm,Percent,2019,0.0020683956436893755,0.003115618370201209,0.0012684343885745867
Deaths,Vanuatu,Male,75 to 79,Self-harm,Rate,2019,27.078278775038115,42.03805556613141,14.626737737328423
Deaths,Vanuatu,Female,75 to 79,Self-harm,Rate,2019,17.28762290221108,26.888607311307485,10.039803467104155
Deaths,Vanuatu,Male,80 to 84,Self-harm,Number,2019,0.31146478034059055,0.47221661365044043,0.17561321365907134
Deaths,Vanuatu,Female,80 to 84,Self-harm,Number,2019,0.07821188635491133,0.1281252522577385,0.04329220918948904
Deaths,Vanuatu,Male,80 to 84,Self-harm,Percent,2019,0.003443491730452651,0.005178722755527155,0.00190980589343612
Deaths,Vanuatu,Female,80 to 84,Self-harm,Percent,2019,0.0010540907871454364,0.001681643659134486,0.0006220758434647693
Deaths,Vanuatu,Male,80 to 84,Self-harm,Rate,2019,48.66529621942723,73.78221498399915,27.438958117251097
Deaths,Vanuatu,Female,80 to 84,Self-harm,Rate,2019,13.958081707046802,22.86586889918678,7.726142678663382
Deaths,Vanuatu,Male,85 to 89,Self-harm,Number,2019,0.12369749364314593,0.18070543928894353,0.07031046637150194
Deaths,Vanuatu,Female,85 to 89,Self-harm,Number,2019,0.041568914411951284,0.06676339129486106,0.023368448624157476
Deaths,Vanuatu,Male,85 to 89,Self-harm,Percent,2019,0.002682121946616264,0.0038605854359832627,0.001539702936348785
Deaths,Vanuatu,Female,85 to 89,Self-harm,Percent,2019,0.0010471330025584654,0.0016354096249777542,0.000624603033358577
Deaths,Vanuatu,Male,85 to 89,Self-harm,Rate,2019,58.34449763183069,85.23348181223963,33.16339497176479
Deaths,Vanuatu,Female,85 to 89,Self-harm,Rate,2019,21.319321007851883,34.24073471061693,11.98490421801037
Deaths,Croatia,Male,10 to 14,Self-harm,Number,2019,1.229423519315591,1.900611807683954,0.7459913053967079
Deaths,Croatia,Female,10 to 14,Self-harm,Number,2019,0.45520984949572557,0.6609724785239591,0.28962462879086237
Deaths,Croatia,Male,10 to 14,Self-harm,Percent,2019,0.08726579289982762,0.1269048160416788,0.053927125926522095
Deaths,Croatia,Female,10 to 14,Self-harm,Percent,2019,0.051949400296081055,0.0723190275064132,0.03389048114767492
Deaths,Croatia,Male,10 to 14,Self-harm,Rate,2019,1.105171505555427,1.7085259717040577,0.6705974964392248
Deaths,Croatia,Female,10 to 14,Self-harm,Rate,2019,0.43364210384511476,0.629655743364009,0.2759022756062077
Deaths,Croatia,Male,15 to 19,Self-harm,Number,2019,9.247192905086044,12.447377840056,6.579127288630253
Deaths,Croatia,Female,15 to 19,Self-harm,Number,2019,2.1204260656979392,2.9734779142628143,1.4938051084452397
Deaths,Croatia,Male,15 to 19,Self-harm,Percent,2019,0.19869401093027075,0.24899146981287074,0.1570141723517024
Deaths,Croatia,Female,15 to 19,Self-harm,Percent,2019,0.14051917025631913,0.18370280349447649,0.10534708938214347
Deaths,Croatia,Male,15 to 19,Self-harm,Rate,2019,8.494372507432281,11.434028163945776,6.043515966093955
Deaths,Croatia,Female,15 to 19,Self-harm,Rate,2019,2.0517299985917083,2.8771452754401263,1.4454098648508313
Deaths,Croatia,Male,20 to 24,Self-harm,Number,2019,20.107773309673604,26.311401781133107,15.030375570895576
Deaths,Croatia,Female,20 to 24,Self-harm,Number,2019,2.8327895651318062,4.0812396775654625,1.9943570946310116
Deaths,Croatia,Male,20 to 24,Self-harm,Percent,2019,0.23399007449214057,0.2848963094084318,0.19268417271935473
Deaths,Croatia,Female,20 to 24,Self-harm,Percent,2019,0.137320425862863,0.1751068714419638,0.10977248651808114
Deaths,Croatia,Male,20 to 24,Self-harm,Rate,2019,15.804190452839913,20.68008219637961,11.813486975500501
Deaths,Croatia,Female,20 to 24,Self-harm,Rate,2019,2.3208841046802684,3.3437302973867027,1.6339624153374341
Deaths,Croatia,Male,25 to 29,Self-harm,Number,2019,19.969207217590473,25.229151295005092,15.232246581718378
Deaths,Croatia,Female,25 to 29,Self-harm,Number,2019,3.7147569424973375,5.214360775188791,2.4144994890268374
Deaths,Croatia,Male,25 to 29,Self-harm,Percent,2019,0.2251904053816077,0.2727669667034957,0.18692190649511645
Deaths,Croatia,Female,25 to 29,Self-harm,Percent,2019,0.1357778099467767,0.17369305774009605,0.10419848207153666
Deaths,Croatia,Male,25 to 29,Self-harm,Rate,2019,15.600250686753018,19.709399603475575,11.899664448768045
Deaths,Croatia,Female,25 to 29,Self-harm,Rate,2019,3.032087250161587,4.256105330424035,1.970781192289321
Deaths,Croatia,Male,30 to 34,Self-harm,Number,2019,24.970546431465657,31.75675430977365,19.35726842246816
Deaths,Croatia,Female,30 to 34,Self-harm,Number,2019,4.36317306917912,6.182540246885183,2.9901864988373545
Deaths,Croatia,Male,30 to 34,Self-harm,Percent,2019,0.20120229768732525,0.24277532164281657,0.16447426745674432
Deaths,Croatia,Female,30 to 34,Self-harm,Percent,2019,0.1058166382046722,0.13435971030897928,0.08293836274467938
Deaths,Croatia,Male,30 to 34,Self-harm,Rate,2019,17.654097650819015,22.451925239062714,13.685527784555958
Deaths,Croatia,Female,30 to 34,Self-harm,Rate,2019,3.202166889309931,4.537414710924234,2.1945212916433774
Deaths,Croatia,Male,35 to 39,Self-harm,Number,2019,30.612237753834194,40.01628702985086,22.69051480766907
Deaths,Croatia,Female,35 to 39,Self-harm,Number,2019,6.599366368743875,9.245601404565866,4.574948317901252
Deaths,Croatia,Male,35 to 39,Self-harm,Percent,2019,0.16397330923792486,0.1987700475091859,0.13360777750216152
Deaths,Croatia,Female,35 to 39,Self-harm,Percent,2019,0.08809742542622048,0.10952969418855572,0.0711197109818149
Deaths,Croatia,Male,35 to 39,Self-harm,Rate,2019,20.031568215964263,26.185246234985375,14.847872242474043
Deaths,Croatia,Female,35 to 39,Self-harm,Rate,2019,4.5118300494169254,6.3209980945475985,3.1277835085802557
Deaths,Croatia,Male,40 to 44,Self-harm,Number,2019,31.312600834341943,43.135303114227774,22.337583706428276
Deaths,Croatia,Female,40 to 44,Self-harm,Number,2019,8.235491207814837,11.764243665098665,5.653137148604784
Deaths,Croatia,Male,40 to 44,Self-harm,Percent,2019,0.10935030185714596,0.1341177427647395,0.08657514183258119
Deaths,Croatia,Female,40 to 44,Self-harm,Percent,2019,0.0689044952822075,0.08909378183594376,0.05352197595005035
Deaths,Croatia,Male,40 to 44,Self-harm,Rate,2019,21.14902551123048,29.134265493428373,15.087157089435271
Deaths,Croatia,Female,40 to 44,Self-harm,Rate,2019,5.7396601036689034,8.198996065994535,3.93990897854711
Deaths,Croatia,Male,45 to 49,Self-harm,Number,2019,40.864919502643964,57.10687922543742,28.270074053667933
Deaths,Croatia,Female,45 to 49,Self-harm,Number,2019,11.446905183072259,16.27630219864682,7.7963962100664155
Deaths,Croatia,Male,45 to 49,Self-harm,Percent,2019,0.08352556290653848,0.10502579767684432,0.06608931373936483
Deaths,Croatia,Female,45 to 49,Self-harm,Percent,2019,0.055935221968772236,0.07162421139144107,0.04317804171870621
Deaths,Croatia,Male,45 to 49,Self-harm,Rate,2019,28.65917124238623,40.04989733882109,19.826220220171702
